"9mm	Weight_dn9.1	Weight_dn9.2	Weight_dn9.3	Weight_un9.1	Weight_un9.2	Weight_un9.3	Weight_dp9.1	Weight_dp9.2	Weight_dp9.3	Weight_up9.1	Weight_up9.2	Weight_up9.3			dn평균	dn분산	dn표편	un평균	un분산	un표편	dp평균	dp분산	dp표편	up평균	up분산	up표편"
"10kpa	1.58	1.52	1.27	0.6	0.78	1.02	2.45	2.33	2.33	0.55	0.59	0.57	24mm	10kpa	1.46	0.027033333	0.164418166	0.8	0.0444	0.210713075	2.37	0.0048	0.069282032	0.57	0.0004	0.02"
"20kpa	2.3	2.16	1.96	2.66	3.03	3.16	4.84	4.63	4.62	0.96	1	0.98		20kpa	2.14	0.0292	0.170880075	2.95	0.0673	0.259422435	4.7	0.015433333	0.124230968	0.98	0.0004	0.02"
"30kpa	2.79	2.73	2.6	4.37	4.96	5.08	7.19	7	6.97	1.29	1.31	1.31		30kpa	2.71	0.009433333	0.097125349	4.8	0.144433333	0.380043857	7.05	0.014233333	0.119303534	1.3	0.000133333	0.011547005"
"40kpa	3.33	3.26	3.19	6.16	6.63	6.7	9.61	9.41	9.37	1.8	1.8	1.76		40kpa	3.26	0.0049	0.07	6.5	0.086233333	0.293655127	9.46	0.016533333	0.12858201	1.79	0.000533333	0.023094011"
"50kpa	3.86	3.86	3.82	7.68	8.08	8.14	12.24	11.85	11.83	2.3	2.31	2.29		50kpa	3.85	0.000533333	0.023094011	7.97	0.062533333	0.250066658	11.97	0.053433333	0.231156513	2.3	0.0001	0.01"
"60kpa							14.71	14.33	14.17	2.72	2.72	2.79		60kpa							14.4	0.076933333	0.277368588	2.74	0.001633333	0.040414519"
"70kpa							17.17	16.73	16.66	3.16	3.19	3.27		70kpa							16.85	0.076433333	0.276465791	3.21	0.003233333	0.056862407"
"																										"
"27mm	dn27.1	dn27.2	dn27.3	un27.1	un27.2	un27.3	dp27.1	dp27.2	dp27.3	up27.1	up27.2	up27.3														"
"10kpa	1.39	1.34	1.18	1.44	1.81	1.98	1.47	1.93	2.02	0.68	0.56	0.54	27mm	10kpa	1.3	0.012033333	0.109696551	1.74	0.076233333	0.276103845	1.81	0.087033333	0.295014124	0.59	0.005733333	0.075718778"
"20kpa	2.16	2.09	1.92	3.55	3.83	3.98	3.41	3.89	3.92	1.07	0.8	0.93		20kpa	2.06	0.015233333	0.123423391	3.79	0.047633333	0.21825062	3.74	0.0819	0.28618176	0.93	0.018233333	0.135030861"
"30kpa	2.78	2.7	2.6	4.95	5.1	5.2	5.46	5.93	5.91	1.36	1.11	1.3		30kpa	2.69	0.008133333	0.090184995	5.08	0.015833333	0.125830574	5.77	0.070633333	0.265769324	1.26	0.017033333	0.130511813"
"40kpa	3.27	3.18	3.06	5.83	5.96	6.1	7.62	8.08	8.05	1.64	1.52	1.74		40kpa	3.17	0.0111	0.105356538	5.96	0.018233333	0.135030861	7.92	0.066233333	0.257358375	1.63	0.012133333	0.110151411"
"50kpa	3.69	3.63	3.54	7.22	7.36	7.48	9.78	10.14	10.1	2.1	1.97	2.19		50kpa	3.62	0.0057	0.075498344	7.35	0.016933333	0.130128142	10.01	0.038933333	0.197315314	2.09	0.012233333	0.1106044"
"60kpa							11.86	12.19	12.15	2.56	2.39	2.62		60kpa							12.07	0.032433333	0.180092569	2.52	0.014233333	0.119303534"
"70kpa							13.89	14.19	14.13	3.01	2.83	3.06		70kpa							14.07	0.0252	0.158745079	2.97	0.014633333	0.120968315"
