Weight_dn24.1,Weight_dn24.2,Weight_dp24.3,Weight_un24.1,Weight_un24.2,Weight_un24.3,Weight_dp24.1,Weight_dp24.2,Weight_dp24.3.1,Weight_up24.1,Weight_up24.2,Weight_up24.3
2.4,2.17,1.98,2.64,3.05,3.19,2.52,4.61,4.63,0.59,1.01,0.58
2.38,2.18,1.98,2.61,3.04,3.15,2.52,4.61,4.63,0.58,0.99,0.58
2.36,2.18,1.98,2.59,3.0,3.12,2.52,4.61,4.63,0.58,0.99,0.58
2.33,2.18,1.98,2.58,2.98,3.09,2.52,4.61,4.63,0.57,0.99,0.57
2.31,2.18,1.99,2.58,2.96,3.09,2.52,4.61,4.63,0.57,1.0,0.57
2.31,2.17,2.0,2.58,2.95,3.09,2.51,4.61,4.63,0.56,1.02,0.57
2.32,2.17,1.99,2.63,2.95,3.09,2.51,4.62,4.63,0.56,1.02,0.57
2.33,2.16,1.99,2.67,2.97,3.09,2.51,4.63,4.63,0.55,1.02,0.61
2.33,2.16,1.97,2.66,3.02,3.12,2.51,4.63,4.63,0.55,1.02,0.64
2.36,2.17,1.97,2.62,3.04,3.17,2.51,4.63,4.63,0.55,1.01,0.64
2.36,2.17,1.98,2.6,3.02,3.17,2.51,4.63,4.62,0.54,1.01,0.63
2.35,2.16,1.98,2.61,3.0,3.15,2.5,4.63,4.63,0.54,1.0,0.63
2.34,2.15,1.99,2.65,2.99,3.13,2.5,4.63,4.63,0.57,1.0,0.62
2.34,2.15,1.98,2.68,2.98,3.12,2.5,4.63,4.62,0.58,1.0,0.61
2.34,2.15,1.97,2.67,2.99,3.14,2.5,4.63,4.62,0.58,1.0,0.61
2.33,2.15,1.97,2.65,3.03,3.17,2.5,4.63,4.64,0.58,1.0,0.6
2.33,2.16,1.97,2.63,3.03,3.18,2.49,4.63,4.64,0.58,1.0,0.59
2.32,2.14,1.97,2.63,3.01,3.17,2.49,4.63,4.64,0.57,1.0,0.58
2.32,2.14,1.98,2.67,3.0,3.16,2.49,4.63,4.64,0.57,1.0,0.58
2.32,2.13,1.98,2.69,3.0,3.15,2.49,4.63,4.64,0.57,1.0,0.57
2.32,2.13,1.97,2.67,3.03,3.15,2.49,4.63,4.64,0.56,1.0,0.57
2.32,2.14,1.96,2.65,3.06,3.19,2.48,4.63,4.64,0.56,1.0,0.56
2.32,2.14,1.96,2.64,3.06,3.19,2.48,4.64,4.64,0.56,1.0,0.56
2.32,2.14,1.96,2.64,3.04,3.18,2.48,4.65,4.64,0.56,1.0,0.6
2.33,2.14,1.96,2.67,3.01,3.16,2.48,4.65,4.64,0.56,1.0,0.64
2.32,2.13,1.97,2.69,3.02,3.16,2.48,4.65,4.64,0.56,1.0,0.63
2.32,2.12,1.97,2.67,3.05,3.17,2.48,4.65,4.64,0.56,1.0,0.63
2.31,2.17,1.96,2.65,3.06,3.2,2.47,4.65,4.64,0.56,1.0,0.62
2.31,2.45,1.96,2.64,3.05,3.21,2.47,4.65,4.64,0.56,1.0,0.61
2.3,2.78,1.95,2.66,3.03,3.18,2.47,4.64,4.65,0.56,1.0,0.61
2.3,2.89,1.95,2.69,3.02,3.17,2.47,4.64,4.65,0.56,1.0,0.6
2.3,2.87,1.96,2.7,3.03,3.18,2.47,4.64,4.65,0.56,1.0,0.6
2.3,2.76,1.96,2.68,3.06,3.2,2.46,4.65,4.65,0.56,1.0,0.59
2.3,2.69,1.97,2.66,3.07,3.22,2.46,4.65,6.01,0.56,1.01,0.58
2.3,2.68,1.96,2.65,3.05,3.22,2.46,4.66,7.43,0.56,1.01,0.57
2.3,2.7,1.95,2.69,3.03,3.2,2.46,4.66,7.56,0.56,1.01,0.57
2.3,2.76,1.95,2.71,3.03,3.19,2.46,4.65,7.53,0.56,1.01,0.56
2.3,2.82,1.95,2.69,3.05,3.18,2.45,4.65,7.49,0.56,1.01,0.56
2.29,2.83,1.96,2.67,3.08,3.22,2.45,4.65,7.47,0.56,1.01,0.56
2.29,2.81,1.96,2.66,3.08,3.23,2.46,4.65,7.46,0.56,1.01,0.6
2.29,2.78,1.96,2.67,3.06,3.21,2.47,4.65,7.43,0.56,1.01,0.62
2.28,2.76,1.96,2.69,3.04,3.2,2.47,4.65,6.92,0.56,1.01,0.61
2.28,2.75,2.02,2.71,3.05,3.19,2.46,4.65,6.87,0.56,1.04,0.6
2.28,2.74,2.63,2.68,3.07,3.19,2.46,4.65,6.89,0.56,1.26,0.6
2.28,2.75,2.73,2.66,3.09,3.21,2.46,4.65,6.91,0.56,1.39,0.59
2.28,2.79,2.69,2.67,3.08,3.23,2.46,4.65,6.92,0.56,1.38,0.59
2.28,2.8,2.57,2.7,3.06,3.22,2.46,4.65,6.93,0.56,1.36,0.58
2.28,2.79,2.52,2.72,3.05,3.21,2.45,4.65,6.94,0.56,1.35,0.58
2.28,2.77,2.52,2.71,3.05,3.4,2.45,4.65,6.94,0.56,1.34,0.57
2.28,2.76,2.52,2.69,3.06,4.15,2.45,4.65,6.94,0.56,1.33,0.56
2.28,2.76,2.54,2.67,3.09,4.98,2.45,4.65,6.94,0.56,1.32,0.58
2.27,2.75,2.65,2.67,3.07,5.26,2.46,4.65,6.94,0.56,1.32,0.62
2.27,2.75,2.65,2.72,3.06,5.17,2.46,4.65,6.94,0.56,1.31,0.62
2.26,2.75,2.63,2.71,3.05,4.89,2.46,5.08,6.94,0.57,1.29,0.62
2.26,2.76,2.61,2.69,3.06,4.75,2.46,6.81,6.95,0.57,1.28,0.67
2.26,2.77,2.58,2.68,3.08,4.77,2.46,7.55,6.96,0.57,1.27,0.95
2.26,2.77,2.57,2.68,3.1,4.82,2.46,7.51,6.96,0.57,1.27,1.1
2.26,2.76,2.58,2.71,3.09,4.95,2.46,7.48,6.96,0.62,1.27,1.1
2.26,2.75,2.58,2.73,3.07,5.1,2.46,7.47,6.96,0.65,1.27,1.07
2.26,2.74,2.6,2.72,3.06,5.13,2.45,7.46,6.96,0.64,1.27,1.06
2.27,2.74,2.64,2.75,3.08,5.09,2.45,7.41,6.96,0.63,1.3,1.05
2.37,2.74,2.62,3.21,3.1,5.01,2.45,7.14,6.96,0.63,1.35,1.04
2.68,2.75,2.61,4.01,3.09,4.93,2.45,6.89,6.96,0.61,1.34,1.03
2.94,2.75,2.61,4.48,3.08,4.91,2.45,6.88,6.96,0.61,1.32,1.02
2.98,2.75,2.6,4.5,3.06,4.93,2.45,6.94,6.96,0.6,1.31,1.01
2.91,2.74,2.6,4.33,3.06,4.96,2.45,6.95,6.96,0.59,1.3,1.0
2.79,2.73,2.6,4.11,3.08,5.05,2.45,6.95,6.97,0.59,1.29,1.0
2.75,2.73,2.6,4.05,3.24,5.12,2.56,6.95,6.98,0.58,1.29,0.98
2.76,2.74,2.61,4.05,3.86,5.11,2.69,6.95,6.98,0.58,1.31,0.97
2.79,2.74,2.62,4.15,4.7,5.09,2.7,6.95,6.98,0.57,1.34,0.96
2.83,2.73,2.62,4.33,5.05,5.06,2.7,6.95,6.97,0.56,1.32,0.96
2.87,2.73,2.61,4.41,5.02,5.03,2.7,6.96,6.97,0.56,1.31,0.95
2.87,2.73,2.61,4.38,4.77,4.99,2.69,6.97,6.97,0.56,1.31,0.95
2.85,2.73,2.6,4.34,4.58,5.0,2.68,6.98,6.97,0.56,1.33,0.96
2.82,2.74,2.6,4.28,4.56,5.0,2.67,6.99,6.97,0.55,1.34,0.96
2.79,2.74,2.6,4.23,4.58,5.01,2.66,6.99,6.97,0.55,1.33,0.98
2.78,2.73,2.61,4.22,4.76,5.05,2.65,6.99,6.97,0.56,1.32,1.03
2.79,2.72,2.61,4.21,4.94,5.1,2.64,6.99,6.97,0.57,1.31,1.03
2.79,2.72,2.61,4.26,4.98,5.11,2.64,6.99,6.97,0.57,1.3,1.02
2.81,2.73,2.6,4.37,4.94,5.09,2.63,6.99,6.97,0.57,1.35,1.01
2.82,2.73,2.6,4.41,4.86,5.08,2.63,6.99,6.97,0.57,1.35,1.0
2.83,2.73,2.6,4.38,4.76,5.07,2.63,6.99,6.98,0.57,1.33,1.0
2.82,2.72,2.61,4.35,4.74,5.06,2.62,7.0,6.99,0.56,1.32,0.99
2.81,2.73,2.61,4.32,4.74,5.06,2.62,7.0,6.98,0.56,1.31,0.98
2.81,2.87,2.61,4.31,4.75,5.06,2.61,7.0,6.99,0.56,1.31,0.97
2.8,3.13,2.6,4.3,4.87,5.06,2.61,7.0,7.0,0.57,1.33,0.97
2.8,3.34,2.6,4.3,4.97,5.06,2.61,7.0,7.0,0.77,1.36,0.99
2.8,3.32,2.6,4.33,4.97,5.07,2.61,7.0,7.0,1.06,1.34,1.01
2.79,3.26,2.61,4.38,4.94,5.09,2.61,7.0,7.0,1.09,1.32,1.0
2.79,3.2,2.61,4.4,4.91,5.09,2.6,7.0,6.99,1.07,1.31,0.99
2.79,3.19,2.6,4.37,4.88,5.09,2.6,7.0,6.99,1.06,1.31,0.99
2.79,3.19,2.6,4.36,4.86,5.08,2.6,7.0,7.0,1.05,1.34,0.98
2.79,3.19,2.6,4.34,4.85,5.08,2.59,7.0,7.54,1.04,1.36,1.0
2.79,3.2,2.6,4.33,4.85,5.07,2.59,7.0,10.2,1.04,1.35,1.04
2.79,3.23,2.61,4.33,4.87,5.08,2.59,7.0,10.17,1.03,1.34,1.04
2.8,3.32,2.61,4.39,4.93,5.09,2.59,7.0,10.13,1.0,1.32,1.03
2.8,3.31,2.6,4.41,4.97,5.09,2.59,7.0,10.1,0.92,1.33,1.02
2.8,3.3,2.6,4.39,4.97,5.1,2.58,7.0,10.06,0.92,1.37,1.01
2.8,3.28,2.6,4.37,4.94,5.1,2.58,7.0,9.75,0.92,1.37,1.0
2.79,3.27,2.59,4.36,4.93,5.09,2.58,7.0,9.32,0.93,1.36,0.99
2.79,3.26,2.6,4.35,4.92,5.09,2.58,7.0,9.25,0.93,1.35,0.98
2.79,3.25,2.61,4.35,4.92,5.08,2.58,7.0,9.29,0.97,1.33,0.97
2.79,3.25,2.61,4.37,4.92,5.08,2.57,7.0,9.31,1.02,1.32,0.96
2.79,3.25,2.59,4.4,4.92,5.09,2.57,7.0,9.31,1.02,1.31,0.98
2.79,3.28,2.59,4.4,4.93,5.11,2.57,7.0,9.31,1.01,1.3,1.02
2.79,3.31,2.59,4.38,4.95,5.11,2.57,7.0,9.31,0.99,1.36,1.01
2.79,3.3,2.6,4.37,4.97,5.11,2.57,7.0,9.31,0.98,1.37,1.0
2.79,3.29,2.6,4.36,4.97,5.09,2.56,7.22,9.32,0.97,1.35,0.99
2.79,3.28,2.6,4.37,4.96,5.09,2.56,8.73,9.33,0.96,1.34,0.99
2.79,3.27,2.6,4.4,4.95,5.09,2.56,10.08,9.35,0.96,1.33,0.98
2.79,3.27,2.59,4.42,4.94,5.09,2.56,10.16,9.35,0.95,1.32,0.99
2.79,3.26,2.59,4.41,4.94,5.09,2.55,10.12,9.35,0.95,1.31,1.03
2.78,3.26,2.6,4.38,4.95,5.1,2.55,10.08,9.35,0.94,1.32,1.03
2.78,3.27,2.6,4.37,4.97,5.11,2.55,10.06,9.35,0.95,1.35,1.02
2.77,3.29,2.6,4.38,4.98,5.11,2.55,9.94,9.36,1.0,1.34,1.01
2.77,3.3,2.6,4.4,4.98,5.12,2.55,9.29,9.36,0.99,1.33,1.0
2.77,3.28,2.59,4.43,4.97,5.11,2.54,9.3,9.36,0.99,1.32,0.99
2.77,3.27,2.65,4.42,4.96,5.11,2.54,9.33,9.36,0.98,1.31,0.98
2.78,3.27,2.86,4.4,4.96,5.1,2.54,9.34,9.36,0.97,1.33,0.97
2.78,3.26,3.12,4.39,4.97,5.1,2.54,9.34,9.36,0.96,1.37,1.0
2.78,3.26,3.25,4.38,4.98,5.09,2.53,9.36,9.37,0.95,1.41,1.03
2.78,3.27,3.21,4.4,4.99,5.1,2.53,9.36,9.37,0.95,1.7,1.03
2.78,3.29,3.13,4.43,4.98,5.11,2.53,9.36,9.37,1.03,1.88,1.02
2.77,3.29,3.1,4.43,4.98,5.12,2.53,9.36,9.37,1.03,1.86,1.01
2.79,3.28,3.09,4.41,4.97,5.12,2.53,9.36,9.37,1.02,1.84,1.0
2.91,3.27,3.1,4.4,4.96,5.11,2.52,9.38,9.37,1.01,1.82,0.99
3.18,3.26,3.1,4.39,4.97,5.11,2.52,9.4,9.37,1.0,1.81,0.98
3.39,3.26,3.12,4.39,4.98,5.1,2.52,9.4,9.37,0.99,1.79,0.97
3.43,3.26,3.17,4.4,4.99,5.1,2.52,9.4,9.38,0.98,1.78,0.97
3.34,3.28,3.23,4.44,4.99,5.1,2.52,9.4,9.38,0.97,1.77,1.02
3.28,3.28,3.21,4.43,4.98,5.11,2.51,9.4,9.38,0.97,1.75,1.03
3.27,3.28,3.2,4.42,4.98,5.2,2.51,9.4,9.38,0.95,1.75,1.02
3.27,3.27,3.18,4.59,4.97,5.66,2.51,9.4,9.38,0.95,1.75,1.01
3.28,3.26,3.17,5.13,4.97,6.79,2.51,9.4,9.38,0.97,1.77,1.0
