Weight_dn21.1,Weight_dn21.2,Weight_dn21.3,Weight_un21.1,Weight_un21.3,Weight_dp21.1,Weight_dp21.2,Weight_dp21.3,Weight_up21.1,Weight_up21.2,Weight_up21.3,Weight_un21.2
2.47,2.49,2.43,3.36,3.86,4.75,4.57,4.7,0.83,1.28,1.18,2.28
2.47,2.49,2.43,3.36,3.7,4.78,4.57,4.44,0.83,1.28,1.18,2.27
2.47,2.49,2.43,3.37,3.59,4.79,4.57,4.45,0.83,1.28,1.15,2.27
2.47,2.49,2.43,3.38,3.6,4.8,4.57,4.45,0.83,1.27,1.03,2.27
2.47,2.49,2.43,3.39,3.64,4.8,4.57,4.45,0.83,1.21,1.03,2.28
2.47,2.49,2.43,3.39,3.67,4.8,4.58,4.46,0.83,1.13,1.03,2.28
2.47,2.49,2.43,3.39,3.75,4.81,4.58,4.46,0.83,1.12,1.04,2.29
2.47,2.49,2.44,3.4,3.82,4.81,4.58,4.46,0.83,1.13,1.04,2.29
2.47,2.49,2.44,3.4,3.83,4.81,4.58,4.46,0.83,1.13,1.04,2.3
2.47,2.49,2.44,3.41,3.82,4.82,4.58,4.46,0.83,1.13,1.04,2.3
2.47,2.49,2.44,3.41,3.81,4.83,4.58,4.46,0.83,1.13,1.04,2.3
2.47,2.49,2.44,3.42,3.81,4.84,4.58,4.46,0.83,1.13,1.04,2.31
2.47,2.49,2.44,3.42,3.81,4.84,4.58,4.47,0.83,1.13,1.04,2.31
2.47,2.49,2.44,3.43,3.82,4.85,4.59,4.47,0.83,1.13,1.04,2.31
2.47,2.49,2.44,3.43,3.83,4.85,4.59,4.48,0.84,1.14,1.04,2.31
2.47,2.49,2.44,3.43,3.83,4.85,4.59,4.48,1.04,1.14,1.04,2.31
2.47,2.49,2.44,3.44,3.83,4.85,4.59,4.49,1.5,1.14,1.04,2.32
2.47,2.49,2.44,3.44,3.84,4.85,4.59,4.49,1.59,1.14,1.04,2.32
2.47,2.5,2.44,3.45,3.84,4.86,4.59,4.49,1.58,1.14,1.04,2.32
2.47,2.5,2.44,3.45,3.84,4.87,4.59,4.5,1.57,1.14,1.04,2.32
2.47,2.5,2.44,3.46,3.85,4.87,4.59,4.51,1.57,1.14,1.05,2.32
2.47,2.49,2.44,3.46,3.85,4.88,4.59,4.51,1.56,1.14,1.05,2.33
2.47,2.5,2.44,3.46,3.85,4.88,4.6,4.51,1.56,1.14,1.05,2.33
2.47,2.5,2.44,3.47,3.86,4.88,4.6,4.51,1.53,1.14,1.04,2.33
2.46,2.5,2.44,3.47,3.86,4.88,4.6,4.51,1.45,1.14,1.04,2.33
2.46,2.5,2.44,3.47,3.86,4.88,4.6,4.51,1.39,1.14,1.05,2.33
2.46,2.5,2.44,3.47,3.86,4.88,4.6,4.51,1.4,1.14,1.05,2.34
2.46,2.5,2.44,3.48,3.87,4.88,4.6,4.51,1.41,1.14,1.05,2.34
2.46,2.5,2.44,3.48,3.87,4.88,4.6,4.51,1.41,1.14,1.05,2.34
2.46,2.5,2.44,3.49,3.87,4.88,4.6,4.51,1.41,1.14,1.05,2.34
2.46,2.5,2.45,3.49,3.87,4.89,4.6,4.51,1.41,1.14,1.05,2.34
2.46,2.5,2.45,3.49,3.88,4.89,4.6,4.52,1.41,1.14,1.05,2.34
2.46,2.5,2.45,3.49,3.88,4.89,4.6,4.52,1.41,1.14,1.05,2.34
2.47,2.5,2.45,3.5,3.88,4.89,4.6,4.52,1.42,1.14,1.05,2.34
3.16,2.5,2.45,3.5,3.88,4.89,4.6,4.52,1.42,1.14,1.05,2.35
3.47,2.5,2.45,3.5,3.88,4.89,4.6,4.52,1.42,1.14,1.05,2.35
3.49,2.5,2.45,3.5,3.89,4.89,4.61,4.52,1.42,1.14,1.05,2.35
3.45,2.5,2.45,3.51,3.89,4.89,4.61,4.52,1.42,1.14,1.05,2.35
3.37,2.5,2.45,3.51,3.89,4.9,4.61,4.52,1.42,1.14,1.05,2.35
3.33,2.5,2.45,3.51,3.89,4.9,4.61,4.52,1.42,1.14,1.05,2.35
3.33,2.5,2.45,3.51,3.9,4.9,4.61,4.52,1.42,1.14,1.05,2.35
3.35,2.5,2.45,3.51,3.9,4.9,4.61,4.52,1.42,1.14,1.05,2.35
3.36,2.5,2.45,3.52,3.9,4.9,4.99,4.52,1.42,1.14,1.05,2.35
3.37,2.5,2.45,3.52,3.9,4.9,6.68,4.52,1.42,1.14,1.05,2.35
3.4,2.5,2.45,3.52,3.91,4.9,7.47,4.52,1.42,1.14,1.05,2.36
3.43,2.5,2.45,3.53,3.91,4.9,7.46,4.52,1.42,1.14,1.05,2.36
3.42,2.5,2.48,3.53,3.91,4.91,7.43,4.53,1.42,1.14,1.05,2.36
3.41,2.5,2.74,3.53,3.91,4.91,7.39,4.53,1.42,1.14,1.05,2.36
3.4,2.5,3.52,3.54,3.91,4.91,7.38,4.53,1.42,1.14,1.05,2.36
3.4,2.53,3.52,3.54,3.91,4.91,7.23,4.53,1.42,1.14,1.05,2.36
3.4,2.81,3.48,3.54,3.91,4.91,6.89,4.53,1.42,1.14,1.05,2.36
3.4,3.35,3.39,3.54,3.92,4.92,6.76,4.53,1.42,1.14,1.05,2.36
3.4,3.57,3.35,3.54,3.92,4.92,6.79,4.53,1.43,1.14,1.05,2.36
3.4,3.53,3.36,3.54,3.92,4.92,6.81,4.53,1.43,1.15,1.05,2.36
3.39,3.45,3.38,3.55,3.92,4.94,6.83,4.53,1.43,1.14,1.05,2.37
3.39,3.43,3.39,3.63,3.92,4.94,6.83,4.53,1.43,1.14,1.05,2.36
3.39,3.44,3.4,4.18,3.95,4.94,6.84,4.53,1.43,1.14,1.05,2.37
3.39,3.45,3.47,5.01,4.92,4.95,6.85,4.53,1.43,1.14,1.05,2.37
3.39,3.47,3.47,5.34,5.43,4.95,6.86,4.53,1.43,1.14,1.05,2.37
3.39,3.47,3.46,5.37,5.51,4.95,6.86,4.53,1.43,1.14,1.05,2.37
3.39,3.48,3.46,5.31,5.49,4.95,6.86,4.53,1.44,1.14,1.05,2.37
3.39,3.54,3.45,5.17,5.35,4.95,6.86,4.53,1.44,1.14,1.05,2.37
3.39,3.54,3.45,5.14,5.27,4.96,6.87,4.53,1.44,1.14,1.05,2.44
3.39,3.53,3.44,5.2,5.28,5.36,6.87,4.53,1.44,1.14,1.05,3.16
3.39,3.52,3.44,5.23,5.32,7.83,6.87,4.53,1.44,1.15,1.05,3.07
3.39,3.52,3.44,5.26,5.35,7.83,6.87,4.53,1.44,1.15,1.05,3.08
3.39,3.52,3.44,5.33,5.41,7.8,6.87,4.53,1.44,1.15,1.05,3.03
3.39,3.52,3.44,5.41,5.5,7.78,6.88,4.53,1.44,1.15,1.05,2.95
3.39,3.52,3.44,5.42,5.53,7.76,6.88,4.53,1.44,1.15,1.05,2.94
3.39,3.52,3.45,5.41,5.52,7.76,6.88,4.54,1.44,1.15,1.05,2.97
3.39,3.52,3.45,5.41,5.51,7.68,6.88,4.54,1.44,1.15,1.06,3.0
3.39,3.52,3.45,5.41,5.51,7.36,6.88,4.54,1.44,1.15,1.3,3.04
3.39,3.52,3.45,5.39,5.51,7.18,6.88,4.7,1.44,1.16,1.7,3.06
3.39,3.52,3.45,5.39,5.5,7.24,6.88,6.11,1.44,1.39,1.7,3.12
3.39,3.52,3.45,5.39,5.49,7.25,6.88,7.34,1.44,1.75,1.69,3.16
3.39,3.52,3.45,5.4,5.5,7.26,6.89,7.41,1.44,1.8,1.68,3.15
3.39,3.52,3.45,5.41,5.5,7.27,6.89,7.38,1.44,1.79,1.68,3.14
3.39,3.52,3.45,5.42,5.51,7.28,6.89,7.34,1.44,1.78,1.67,3.14
3.39,3.52,3.45,5.43,5.52,7.28,6.89,7.33,1.44,1.77,1.62,3.14
3.39,3.52,3.45,5.43,5.53,7.28,6.89,7.18,1.44,1.77,1.54,3.15
3.39,3.52,3.45,5.44,5.53,7.29,6.89,6.84,1.44,1.77,1.51,3.15
3.39,3.53,3.45,5.45,5.54,7.29,6.89,6.68,1.44,1.77,1.53,3.16
3.38,3.53,3.45,5.45,5.54,7.3,6.89,6.7,1.45,1.75,1.54,3.16
3.38,3.53,3.45,5.46,5.55,7.3,6.89,6.72,1.45,1.7,1.54,3.16
3.38,3.53,3.45,5.46,5.55,7.3,6.9,6.73,1.44,1.66,1.54,3.17
3.38,3.53,3.45,5.46,5.55,7.31,6.9,6.73,1.44,1.66,1.54,3.17
3.38,3.53,3.45,5.47,5.56,7.31,6.9,6.73,1.44,1.67,1.54,3.17
3.38,3.53,3.45,5.47,5.56,7.31,6.9,6.74,1.45,1.67,1.54,3.17
3.38,3.53,3.45,5.48,5.56,7.32,6.9,6.74,1.45,1.67,1.54,3.18
3.38,3.53,3.45,5.48,5.57,7.32,6.9,6.74,1.45,1.67,0.63,3.18
3.4,3.53,3.46,5.49,5.57,7.32,6.9,6.74,1.46,1.67,45.65,3.18
3.51,3.53,3.45,5.49,5.57,7.33,6.9,6.74,1.46,1.67,1.54,3.19
3.87,3.53,3.45,5.49,5.58,7.33,6.91,6.74,1.45,1.67,1.54,3.19
4.21,3.53,3.46,5.49,5.58,7.33,6.91,6.74,1.45,1.67,1.54,3.19
4.28,3.53,3.46,5.5,5.58,7.33,6.91,6.75,1.46,1.68,1.54,3.19
4.27,3.53,3.46,5.5,5.58,7.33,6.91,6.76,1.45,1.68,1.54,3.19
4.23,3.53,3.46,5.5,5.59,7.34,6.91,6.77,1.45,1.68,1.54,3.19
