Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un,Weight_1821up,Weight_1821dp,Weight_1821dn,Weight_1821un,Weight_1821un.3,Weight_1833up,Weight_1833dp,Weight_1833un,Weight_1833dn,Weight_1827un,Weight_1827dn,Weight_1827dp,Weight_1827up
0.22,0.51,0.52,0.32,0.31,0.31,1.44,3.7,4.27,3.65,2.09,1.66,0.58,1.6,1.32,0.42,0.45,1.9,5.22,2.55,1.89,1.07,1.42,2.85,2.04
0.22,0.51,0.52,0.32,0.31,0.31,1.44,3.7,4.27,3.65,2.09,1.66,0.58,1.59,1.3,0.42,0.47,1.9,5.22,2.55,1.9,1.07,1.42,2.85,2.08
0.22,0.51,0.52,0.32,0.31,0.31,1.45,3.7,4.27,3.65,2.09,1.72,0.56,1.59,1.29,0.41,0.45,1.9,5.22,2.55,1.9,1.07,1.42,2.85,2.06
0.22,0.51,0.52,0.32,0.31,0.31,1.45,3.7,4.27,3.65,2.09,2.3,0.56,1.58,1.29,0.43,0.44,1.9,5.22,2.55,1.9,1.07,1.42,2.85,2.06
0.22,0.51,0.52,0.32,0.31,0.31,1.45,3.7,4.27,3.66,2.09,3.6,0.56,1.58,1.28,0.45,0.43,1.9,5.23,2.55,1.9,1.07,1.42,2.85,2.05
0.22,0.51,0.52,0.32,0.31,0.31,1.45,3.7,4.28,3.66,2.09,4.33,0.55,1.57,1.28,0.45,0.44,1.9,5.23,2.56,1.9,1.07,1.42,2.85,2.05
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.7,4.28,3.66,2.09,4.41,0.55,1.57,1.28,0.43,0.46,1.9,5.23,2.56,1.9,1.07,1.43,2.85,2.05
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.7,4.28,3.66,2.09,4.25,0.54,1.57,1.29,0.42,0.47,1.9,5.23,2.56,1.9,1.07,1.43,2.85,2.05
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.7,4.28,3.66,2.09,3.96,0.54,1.56,1.32,0.42,0.46,1.9,5.23,2.56,1.91,1.07,1.43,2.85,2.05
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.7,4.28,3.66,2.09,3.9,0.56,1.56,1.91,0.42,0.45,1.9,5.23,2.56,1.91,1.07,1.43,2.85,2.04
