Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un
0.42,0.51,0.88,0.33,0.32,1,1.45,7.85,8.34,3.71,3.96,4.4
0.42,0.51,0.99,0.33,0.32,1.01,1.45,7.85,8.35,3.71,3.96,4.4
0.42,0.51,0.99,0.33,0.32,1.02,1.45,7.86,8.35,3.71,3.97,4.41
0.42,0.51,0.98,0.33,0.32,1.02,1.45,7.86,8.36,3.71,3.97,4.41
0.42,0.51,0.94,0.33,0.32,1.03,1.45,7.87,8.36,3.71,3.97,4.42
0.42,0.51,0.93,0.33,0.32,1.04,1.45,7.87,8.37,3.71,3.97,4.43
0.42,0.51,0.94,0.33,0.32,1.05,1.45,7.87,8.39,3.72,3.97,4.43
0.42,0.51,0.95,0.33,0.32,1.06,1.45,7.87,8.4,3.72,3.97,4.43
0.42,0.51,0.95,0.33,0.32,1.06,1.45,7.87,8.4,3.73,3.97,4.44
0.42,0.51,0.96,0.33,0.32,1.07,1.45,7.88,8.4,4.01,3.97,4.44
0.42,0.69,0.97,0.33,0.32,1.07,1.45,7.88,8.4,4.87,3.97,4.45
0.42,1.09,0.97,0.33,0.32,1.08,1.45,7.88,8.41,5.02,3.98,4.45
0.42,1.21,0.97,0.33,0.35,1.08,1.45,7.88,8.41,5.04,3.98,4.45
0.42,1.22,0.97,0.33,0.81,1.09,1.45,7.89,8.41,4.81,3.98,4.46
0.42,1.23,0.97,0.33,0.92,1.1,1.45,7.89,8.41,4.73,3.98,4.46
0.42,1.22,0.97,0.33,0.95,1.1,1.45,7.89,8.41,4.76,3.98,4.46
0.42,1.23,0.97,0.33,0.91,1.1,1.45,7.89,8.42,4.8,3.98,4.46
0.42,1.23,0.97,0.34,0.87,1.11,1.45,7.89,8.42,4.83,3.98,4.47
0.42,1.23,0.97,0.34,0.88,1.11,1.45,7.9,8.42,4.86,3.98,4.47
0.42,1.18,0.97,0.34,0.9,1.12,1.45,7.9,8.42,4.93,3.98,4.47
0.42,1.13,0.98,0.34,0.92,1.12,1.46,7.9,8.42,4.98,3.99,4.48
0.42,1.11,0.98,0.34,0.93,1.13,1.63,7.9,8.43,4.96,3.99,4.48
0.42,1.11,0.98,0.34,0.97,1.28,2.58,7.9,8.43,4.96,3.99,4.48
0.42,1.11,0.98,0.35,1,1.73,3.14,7.9,8.43,4.96,3.99,4.48
0.42,1.11,0.98,0.49,1.01,2.1,3.13,7.91,8.43,4.97,3.99,4.48
0.42,1.11,0.98,0.76,1.02,2.18,3.12,7.91,8.43,4.97,3.99,4.49
0.42,1.11,0.98,0.93,1.02,2.19,3.1,7.91,8.43,4.98,3.99,4.49
0.42,1.11,0.98,0.91,1.03,2.14,3.1,7.91,8.43,4.98,3.99,4.49
0.42,1.12,0.98,0.86,1.03,2.09,3.1,7.91,8.44,4.98,3.99,4.49
0.42,1.12,0.98,0.86,1.04,2.11,3.06,7.91,8.44,4.99,3.99,4.49
0.42,1.12,0.98,0.88,1.06,2.15,2.92,7.91,8.44,4.99,3.99,4.5
0.42,1.12,0.99,0.9,1.06,2.17,2.78,7.91,8.44,5,3.99,4.5
0.42,1.12,0.99,0.92,1.07,2.19,2.76,7.92,8.44,5,4,4.5
0.42,1.12,0.99,0.94,1.08,2.24,2.77,7.92,8.44,5,4.02,4.5
0.43,1.12,0.99,0.96,1.08,2.26,2.77,7.92,8.44,5,4.34,4.5
0.42,1.12,0.99,1.01,1.09,2.26,2.77,7.92,8.44,5.01,5.17,4.51
0.42,1.12,0.99,1.01,1.09,2.26,2.78,7.92,8.44,5.01,5.75,4.51
0.42,1.12,0.99,1.02,1.1,2.26,2.78,7.92,8.48,5.01,5.84,4.51
0.42,1.12,0.99,1.02,1.1,2.26,2.79,7.92,8.48,5.01,5.83,4.51
0.42,1.13,0.99,1.03,1.11,2.28,2.79,7.92,8.48,5.02,5.61,4.52
0.43,1.13,0.99,1.04,1.12,2.28,2.79,7.92,8.48,5.02,5.62,4.52
0.43,1.13,0.99,1.05,1.12,2.29,2.79,7.92,8.48,5.02,5.64,4.52
0.42,1.13,0.99,1.05,1.12,2.29,2.79,7.93,8.48,5.02,5.66,4.53
0.43,1.13,0.99,1.06,1.13,2.3,2.79,7.93,8.49,5.03,5.68,4.53
