Weight_d27mm,Weight_u27mm,Weight_d24mm,Weight_u24mm,Weight_d21mm,Weight_u21mm
6.35,1.55,6.3,0.92,6.27,1.85
6.36,1.55,6.3,0.93,6.27,1.85
6.36,1.54,6.3,0.93,6.27,1.85
6.36,1.54,6.3,0.93,6.27,1.85
6.36,1.54,6.3,0.93,6.27,1.85
6.36,1.54,6.3,0.93,6.27,1.85
6.37,1.54,6.3,0.93,6.27,1.85
6.38,1.54,6.3,0.93,6.27,1.85
6.38,1.54,6.3,0.93,6.27,1.85
6.38,1.54,6.3,0.93,6.27,1.85
6.38,1.54,6.3,0.93,6.27,1.85
6.38,1.54,6.3,0.93,6.27,1.85
6.39,1.54,6.31,0.93,6.28,1.85
6.39,1.54,6.31,0.93,6.28,1.85
6.39,1.54,6.31,0.93,6.27,1.85
6.39,1.54,6.31,0.93,6.29,1.85
6.39,1.54,6.31,0.93,6.29,1.85
6.39,1.54,6.31,0.93,6.29,1.85
6.39,1.54,6.31,0.94,6.29,1.85
6.39,1.54,6.31,0.93,6.29,1.85
6.39,1.54,6.32,0.94,6.29,1.85
6.39,1.54,6.33,0.93,6.3,1.85
6.39,1.54,6.33,0.93,6.3,1.85
6.39,1.54,6.33,0.93,6.3,1.85
6.4,1.54,6.33,0.93,6.3,1.85
6.4,1.54,6.34,0.94,6.3,1.85
6.4,1.54,6.34,0.94,6.3,1.85
6.4,1.54,6.34,0.94,6.3,1.85
6.4,1.54,6.34,0.94,6.64,1.85
6.4,1.54,6.34,0.94,8.25,1.85
6.4,1.54,6.34,0.93,9.04,1.85
6.4,1.54,6.34,0.93,9.02,1.85
6.4,1.54,6.34,0.93,8.94,1.85
6.61,1.54,6.34,0.93,8.93,1.85
9.18,1.54,6.34,0.93,8.8,1.85
9.2,1.54,6.34,0.93,8.45,1.85
9.16,1.54,6.34,0.93,8.32,1.85
9.13,1.54,6.34,0.93,8.35,1.85
9.11,1.54,6.34,0.94,8.36,1.85
8.97,1.54,6.34,0.94,8.37,1.85
8.58,1.54,6.34,0.95,8.38,1.85
8.42,1.54,6.34,0.95,8.39,1.85
8.43,1.54,6.34,0.95,8.4,1.85
8.48,1.54,6.34,0.95,8.4,1.85
8.48,1.54,6.34,0.96,8.4,1.85
8.48,1.54,6.7,0.96,8.41,1.85
8.49,1.54,8.37,0.96,8.41,1.85
8.5,1.54,9.18,0.96,8.41,1.85
8.5,1.54,9.16,0.96,8.41,1.85
8.51,1.56,9.09,0.96,8.41,1.85
8.52,1.8,9.07,0.96,8.41,1.85
8.53,2.08,8.9,0.96,8.41,1.85
8.53,2.1,8.53,0.96,8.41,1.85
8.53,2.08,8.43,0.96,8.42,1.85
8.53,2.07,8.44,0.96,8.42,1.85
8.53,2.07,8.46,0.96,8.42,1.85
8.53,2.07,8.47,0.96,8.42,1.88
8.54,2.06,8.47,0.96,8.42,2.25
8.54,1.97,8.5,0.96,8.42,2.56
8.54,1.96,8.5,0.96,8.43,2.54
8.54,1.97,8.5,0.96,8.43,2.53
8.54,1.97,8.5,0.96,8.43,2.52
8.54,1.97,8.5,0.96,8.43,2.51
8.55,1.98,8.5,0.96,8.43,2.46
8.55,1.98,8.5,0.96,8.43,2.38
8.55,1.98,8.5,0.96,8.43,2.36
8.55,1.98,8.5,0.96,8.43,2.36
8.55,1.98,8.5,0.96,8.43,2.36
8.55,1.98,8.5,0.96,8.43,2.36
8.55,1.98,8.5,0.96,8.44,2.36
8.56,1.98,8.5,0.96,8.44,2.37
8.56,1.98,8.5,0.96,8.44,2.37
8.56,1.97,8.51,0.96,8.44,2.37
8.56,1.97,8.52,0.96,8.44,2.37
8.56,1.98,8.52,0.96,8.44,2.37
8.56,1.97,8.53,0.96,8.44,2.37
8.56,1.98,8.53,0.96,8.44,2.37
8.56,1.98,8.53,0.96,8.44,2.37
8.56,1.97,8.53,0.96,8.44,2.37
8.57,1.97,8.53,0.96,8.44,2.37
8.57,1.97,8.53,0.96,8.44,2.38
8.57,1.97,8.53,0.96,8.45,2.37
8.57,1.97,8.53,0.96,8.45,2.37
8.57,1.97,8.53,0.96,8.45,2.37
8.57,1.97,8.53,0.96,8.47,2.37
8.57,1.97,8.53,0.96,8.47,2.37
8.58,1.98,8.53,0.96,8.47,2.37
8.58,1.98,8.54,0.96,8.47,2.37
8.58,1.98,8.54,0.96,8.47,2.37
8.58,1.98,8.54,0.96,8.47,2.37
8.58,1.98,8.54,0.96,8.47,2.37
8.58,1.98,8.54,0.96,8.47,2.37
8.58,1.98,8.55,0.96,8.47,2.37
8.58,1.98,8.55,0.96,8.47,2.37
8.58,1.97,8.55,0.96,8.48,2.37
8.58,1.98,8.55,0.96,8.48,2.37
8.58,1.98,8.55,0.96,8.48,2.37
8.59,1.97,8.55,0.96,8.48,2.37
8.62,1.97,8.55,0.96,8.48,2.37
